Company,Inches,Cpu,Ram,Gpu,OpSys,SSD,Price

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

HP,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,817.94

Lenovo,15.6,amd ryzen 5 5625u,16gb,integrated graphics,No Os/ Linux,512gb ssd,542.61

Lenovo,14,intel core i7-1260p,16gb,integrated graphics,No Os/ Linux,1tb ssd,1120.47

MSI,17.3,intel core i7-13700h,16gb,rtx 4060,No Os/ Linux,1tb ssd,1203.2

HP,14,intel core i7-1165g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,749

Lenovo,15.6,amd ryzen 5 5600h,16gb,rtx 3060,No Os/ Linux,512gb ssd,978.99

Lenovo,16,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1083.39

MSI,18,intel core i9-14900hx,128gb,rtx 4080,No Os/ Linux,2tb ssd,4599

Asus,15.6,intel core i7-12650h,16gb,rtx 3060,No Os/ Linux,512gb ssd,1811.38

Asus,17.3,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,785.54

HP,14,intel core i5-1155g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,936.78

Lenovo,16,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1078.82

MSI,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,1tb ssd,729

MSI,16,intel core i9-13950hx,32gb,rtx 4060,No Os/ Linux,1tb ssd,1869

Asus,14,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,896.52

Asus,13.3,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1017.87

Lenovo,15.6,intel core i5-13420h,16gb,integrated graphics,No Os/ Linux,512gb ssd,815.54

Asus,16,intel core i7-12650h,16gb,rtx 4060,No Os/ Linux,512gb ssd,1199

HP,16.1,intel core i7-11800h,16gb,rtx 3060,No Os/ Linux,1tb ssd,1009.98

Lenovo,15.6,intel core i3-1115g4,8 gb,integrated graphics,No Os/ Linux,256 gb ssd,448.99

Lenovo,14,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1078.99

Asus,17.3,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,718.59

Apple,13.6,m2,8gb,gpu octa core,MacOs,256gb ssd,1169.01

Asus,16,intel core i5-1235u,12gb,integrated graphics,No Os/ Linux,512gb ssd,808.76

Dell,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,996.39

Dell,16,intel core i5-1340p,16gb,integrated graphics,No Os/ Linux,512gb ssd,996.95

HP,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,649

HP,11.6,intel celeron n4020,4gb,integrated graphics,No Os/ Linux,32gb,243.98

Lenovo,14,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1053.22

Asus,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1039.13

Asus,16,intel core i5-12450h,16gb,rtx 3050,No Os/ Linux,512gb ssd,979.99

Dell,14,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1001.49

HP,15.6.11,intel core i7-1255u,16gb,integrated graphics,Windows,512gb ssd,979

MSI,15.6,intel core i9-13900h,32gb,integrated graphics,No Os/ Linux,1tb ssd,1109

MSI,16,intel core i9-13950hx,32gb,rtx 4080,No Os/ Linux,1tb ssd,2299

Asus,15.6,intel core i7-1165g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,649

Asus,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,678.08

Asus,14,amd ryzen 7 5800hs,16gb,integrated graphics,No Os/ Linux,512gb ssd,799

HP,14,intel core i5-1335u,8gb,integrated graphics,No Os/ Linux,512gb ssd,827.6

HP,16.1,amd ryzen 7 6800h,16gb,rtx 3050,No Os/ Linux,512gb ssd,869

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Lenovo,15.6,intel core i5-12500h,8gb,integrated graphics,No Os/ Linux,512gb ssd,527

Lenovo,17.3,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,944.99

Samsung,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1169.01

Asus,14,amd ryzen 9 7940hs,32gb,rtx 4060,No Os/ Linux,1tb ssd,1870.5

Acer,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,808.18

Dell,15.6,intel core i5-1335u,8gb,integrated graphics,No Os/ Linux,256gb ssd,847.27

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1002.73

Lenovo,,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,512gb ssd,889

Lenovo,15.6,intel core i5-11320h,16gb,integrated graphics,No Os/ Linux,512gb ssd,829

Lenovo,14,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,969.35

MSI,14,intel core i5-12450h,16gb,rtx 2050,No Os/ Linux,512gb ssd,749

Asus,14,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,746.78

Alurin,14,intel core i5-1155g7,16gb,integrated graphics,No Os/ Linux,500gb ssd,356.15

HP,15.6,amd ryzen 5 7520u,16gb,integrated graphics,No Os/ Linux,512gb ssd,469

Lenovo,15.6,amd ryzen 3 5300u,8gb,integrated graphics,No Os/ Linux,256 gb ssd,448.99

Lenovo,14,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,938.99

Lenovo,14,intel core i5-1335u,8gb,integrated graphics,No Os/ Linux,256gb ssd,949.91

Asus,16,intel core i7-13650hx,16gb,rtx 4060,No Os/ Linux,1tb ssd,1499

Asus,14.5,intel core i9-13900h,32gb,rtx 4060,No Os/ Linux,1tb ssd,2589

Apple,13.3,intel core i5 1.4ghz,8gb,integrated graphics,MacOs,256gb ssd,843.99

Asus,13.3,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,1tb ssd,1299

HP,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,1tb ssd,775.31

Asus,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,905.66

Alurin,14,intel core i5-1155g7,16gb,integrated graphics,No Os/ Linux,1tb ssd,558.86

Alurin,15.6,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,1tb ssd,709

HP,15.6,intel celeron n4500,8 gb,integrated graphics,No Os/ Linux,256gb ssd,356.99

HP,14,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,897.79

Lenovo,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1074.31

Microsoft,13,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,256gb ssd,1393.2

Asus,16,intel core i7-12650h,16gb,rtx 4050,No Os/ Linux,512gb ssd,1098.99

Asus,14,amd ryzen 5 7530u,8gb,integrated graphics,No Os/ Linux,512gb ssd,759.9

Apple,15.3,m2,8gb,gpu deca core,MacOs,512gb ssd,1649

HP,16.1,intel core i7-13700h,16gb,rtx 4060,No Os/ Linux,1tb ssd,1149

HP,14,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,880.56

Asus,18,intel core i7-13650hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,2169

Asus,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,512gb ssd,426.98

Acer,15.6,intel core i7-13620h,16gb,rtx 3050,No Os/ Linux,512gb ssd,898.99

Asus,14,intel core i5-1240p,8gb,integrated graphics,No Os/ Linux,512gb ssd,741.34

HP,17.3,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,710.42

Lenovo,14,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,847.62

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Samsung,15.6,intel core i5-1335u,8gb,integrated graphics,No Os/ Linux,512gb ssd,959

Asus,17.3,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,1tb ssd,894.79

Acer,15.6,intel core i5-13420h,16gb,rtx 4050,No Os/ Linux,512gb ssd,839

HP,15.6,intel core i5-1135g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,814.3

Apple,14.2,m1 pro,16gb,integrated graphics,MacOs,512gb ssd,1968.99

Dell,14,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,698.99

HP,15.6.365.12.3,amd ryzen 5 5500u,16gb,integrated graphics,No Os/ Linux,512gb ssd,669

HP,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,708.01

HP,15.6,amd ryzen 5 5600h,8gb,integrated graphics,No Os/ Linux,512gb ssd,696.97

Lenovo,15.6,amd ryzen 5 6600h,16gb,rtx 3050,No Os/ Linux,512gb ssd,939

Lenovo,14,amd ryzen 5 6600u,8gb,integrated graphics,No Os/ Linux,512gb ssd,1250.54

MSI,17.3,intel core i9-13900h,32gb,rtx 4070,No Os/ Linux,1tb ssd,2317.23

Asus,14,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb emmc,399

Asus,14,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,663.14

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,573.61

Asus,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,555

Asus,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Asus,16,intel core i7-12650h,16gb,rtx 3050,No Os/ Linux,512gb ssd,959.9

Asus,14,amd ryzen 7 5800h,16gb,integrated graphics,No Os/ Linux,512gb ssd,899

Dell,15.6.365.12.3,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,669

MSI,16,intel core i9-13900h,64gb,rtx 4070,No Os/ Linux,1tb ssd,2599

Lenovo,14,intel core i5-1145g7,16gb,integrated graphics,No Os/ Linux,256gb ssd,818.94

Lenovo,14,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,350

Asus,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,1207.95

Asus,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,718.99

Asus,14.5,intel core i9-13900h,32gb,rtx 4060,No Os/ Linux,1tb ssd,2499

HP,15.6,amd ryzen 5 7520u,16gb,integrated graphics,No Os/ Linux,1tb ssd,628.99

Lenovo,15.6.11,intel core i5-1155g7,16gb,integrated graphics,Windows,512gb ssd,789

MSI,15.6,intel core i7-1355u,16gb,integrated graphics,No Os/ Linux,512gb ssd,855.77

Asus,14,intel celeron n4500,8gb,integrated graphics,No Os/ Linux,128gb emmc,299

Asus,14,intel core i7-12700h,16gb,integrated graphics,No Os/ Linux,512gb ssd,1219

Acer,14,amd ryzen 3 7320c,8gb,integrated graphics,No Os/ Linux,256gb ssd,399

Apple,13.3,intel core i3,8gb,integrated graphics,MacOs,256gb ssd,668.99

HP,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,773.83

Asus,15.6,intel core i7-1165g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,549

Asus,14,amd ryzen 5 5625u,8gb,integrated graphics,No Os/ Linux,512gb ssd,755

HP,15.6,intel celeron n4500,8gb,integrated graphics,No Os/ Linux,256gb ssd,293.99

Lenovo,14,intel core i5-8265u,16gb,integrated graphics,No Os/ Linux,512gb ssd,470

Microsoft,12.3,intel core i5-1035g4,8gb,integrated graphics,No Os/ Linux,256 gb ssd,685

Asus,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,501.09

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Asus,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,502.17

Asus,16,intel core i7-11370h,16gb,integrated graphics,No Os/ Linux,512gb ssd,679

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Asus,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,502.17

Asus,16,intel core i7-11370h,16gb,integrated graphics,No Os/ Linux,512gb ssd,679

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Acer,15.6,amd ryzen 5 7520u,8gb,integrated graphics,No Os/ Linux,1tb ssd,499

Acer,16,intel core i9-13900hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,1799

Lenovo,15.6,intel core i5-1155g7,8 gb,integrated graphics,No Os/ Linux,512 gb ssd,739.17

Lenovo,14,intel core i5-6300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,279

MSI,15.6,amd ryzen 7 7735hs,32gb,rtx 4060,No Os/ Linux,1tb ssd,1067.3

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,727.52

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,622.89

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,636.31

Asus,16,intel core i7-11370h,16gb,integrated graphics,No Os/ Linux,512gb ssd,772.23

Acer,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,469

Lenovo,14,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,256gb ssd,909

Lenovo,14,intel core i7-8550u,8gb,integrated graphics,No Os/ Linux,256gb ssd,412

Lenovo,15.6,intel core i5-12500h,16gb,integrated graphics,No Os/ Linux,512gb ssd,629.11

Primux,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gb ssd,319.21

Asus,15.6,intel core i7-1255u,8gb,integrated graphics,No Os/ Linux,512gb ssd,574.94

Asus,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,469

Acer,15.6,intel core i5-1035g1,8gb,integrated graphics,No Os/ Linux,256gb ssd,531.81

Acer,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,634.53

Acer,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,618.15

HP,15.6,amd athlon 3020e,8gb,integrated graphics,No Os/ Linux,256gb ssd,358

HP,13.3,intel core i5-8250u,8gb,integrated graphics,No Os/ Linux,256gb ssd,411.94

Asus,11.6,intel celeron n5100,8gb,integrated graphics,No Os/ Linux,256gb ssd,470.83

Asus,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,619.62

Asus,15.6,amd ryzen 7 7730u,8gb,integrated graphics,No Os/ Linux,512gb ssd,519.9

Apple,12,m3,8gb,integrated graphics,MacOs,256gb,406.99

Apple,16,intel core i7,16gb,radeon pro 5300m,MacOs,512gb ssd,853

HP,15.6,intel core i5-1155g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,561.8

Asus,11.6,intel celeron n5100,8gb,integrated graphics,No Os/ Linux,128gb ssd,420.09

Acer,15.6,intel core i5-1035g1,8gb,integrated graphics,No Os/ Linux,256gb ssd,431.83

HP,15.6,amd 3020e,8gb,integrated graphics,No Os/ Linux,256gb ssd,378.23

HP,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,522.07

HP,15.6,intel core i5-1235u,8 gb,integrated graphics,No Os/ Linux,512gb ssd,613.65

HP,16.1,intel core i7-13700h,32gb,rtx 4060,No Os/ Linux,1tb ssd,1229

Lenovo,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,933.45

Lenovo,14,intel core i5-1235u,8 gb,integrated graphics,No Os/ Linux,512gb ssd,567.82

Asus,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,512gb ssd,549

Acer,15.6,intel core i3-1005g1,8gb,integrated graphics,No Os/ Linux,256gb ssd,723.02

HP,13.3,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,459

Lenovo,15.6,amd ryzen 7 5700u,8gb,integrated graphics,No Os/ Linux,512gb ssd,493.63

Asus,15.6,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,529.01

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Asus,16,intel core i5-11300h,16gb,integrated graphics,No Os/ Linux,512gb ssd,539.9

Apple,13,intel core i5,8gb,integrated graphics,MacOs,128gb,454.99

Dell,15.6,intel core i7-1255u,16gb,integrated graphics,No Os/ Linux,512gb ssd,851.11

Lenovo,15.6,intel celeron n4020,8 gb,integrated graphics,No Os/ Linux,256 gb ssd,325.97

HP,15.6,intel celeron n4120,8gb,integrated graphics,No Os/ Linux,256gb ssd,360.2

HP,15.6,intel celeron n4500,8gb,integrated graphics,No Os/ Linux,512gb ssd,514.03

Vanwin,15.6,intel celeron n5095,24gb,integrated graphics,No Os/ Linux,512 gb ssd,359.98

Dell,14,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,256 gb ssd,1476.35

Dell,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,534.1

Lenovo,15.6,intel core i5-1235u,16gb,integrated graphics,No Os/ Linux,1tb ssd,649

Medion,15.6,intel core i5-1155g7,16gb,integrated graphics,No Os/ Linux,512gb ssd,415

Acer,15.6,amd ryzen 5 7520u,16gb,integrated graphics,No Os/ Linux,1tb ssd,601.45

Acer,15.6.365.12.3,intel core i5-1235u,8gb,integrated graphics,No Os/ Linux,512gb ssd,819

HP,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,649

Lenovo,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,256gbssd,432.65

Asus,15.6,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,444.94

Asus,15.6,intel core i7-12700h,16gb,rtx 3050,No Os/ Linux,512gb ssd,898.99

Acer,15.6,intel core i3-n305,8gb,integrated graphics,No Os/ Linux,512gb ssd,419

Apple,13.3,macbook air i5,4gb,integrated graphics,MacOs,256gb,285

HP,15.6,intel celeron n4120,4gb,integrated graphics,No Os/ Linux,128gb ssd,310.05

HP,15.6,intel core i3-1115g4,8gb,integrated graphics,No Os/ Linux,512gb ssd,468.8

HP,15.6,amd ryzen 5 5500u,8gb,integrated graphics,No Os/ Linux,256gb ssd,481.43

HP,11.6,intel celeron n3350,8gb,integrated graphics,No Os/ Linux,64gb emmc,224.99

Dell,13.3,intel core i5-8365u,16 gb,integrated graphics,No Os/ Linux,512gb ssd,389

HP,16.1,intel core i7-12700h,16gb,rtx 3060,No Os/ Linux,512gb ssd,1163.41

Lenovo,15.6,amd ryzen 7 5800h,16gb,rtx3050ti,No Os/ Linux,512gb ssd,1239

Asus,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,435.1

Asus,16,intel core i7-11370h,8gb,integrated graphics,No Os/ Linux,512gb ssd,529

Acer,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,427.06

Asus,16,intel core i5-11300h,8gb,integrated graphics,No Os/ Linux,256gb ssd,495.9

Lenovo,15.6,intel core i3-1115g4,8 gb,integrated graphics,No Os/ Linux,256gb ssd,449.99

Primux,15.6,amd ryzen 5 3450u,8gb,integrated graphics,No Os/ Linux,512gb ssd,329.53

Prixton,15.6,intel celeron n4020,4gb,integrated graphics,No Os/ Linux,128gb,270.96

Asus,15.6,intel core i7-12700h,16gb,rtx 4050,No Os/ Linux,1tb ssd,1098.99

Acer,15.6,amd ryzen 5 3500u,8gb,integrated graphics,No Os/ Linux,512gb ssd,385.83

Acer,15.6,intel core i3-1215u,8gb,integrated graphics,No Os/ Linux,256gb ssd,434.59

Dell,14,intel core i5-7300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,289.98

Lenovo,15.6,amd ryzen 3 5300u,8 gb,integrated graphics,No Os/ Linux,256gb ssd,487.69

Lenovo,16,intel core i9-13900hx,32gb,rtx 4070,No Os/ Linux,1tb ssd,2349

Lenovo,14,intel core i5-8265u,16gb,integrated graphics,No Os/ Linux,256gb ssd,425

Lenovo,15.6,intel core i5-12450h,16gb,integrated graphics,No Os/ Linux,512gb ssd,599

Alurin,14,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,229.9

Acer,15.6,intel core i5-13420h,16gb,rtx 3050,No Os/ Linux,1tb ssd,759

HP,15.6,intel core i5-1335u,16gb,integrated graphics,No Os/ Linux,512gb ssd,628.99

MSI,17.3,intel core i7-13700h,16gb,rtx 4070,No Os/ Linux,1tb ssd,1399

Asus,14,intel core i7-1360p,16gb,integrated graphics,No Os/ Linux,512gb ssd,1259.01

Lenovo,13.3,intel core i5-8350u,8gb,integrated graphics,No Os/ Linux,256gb ssd,398.99

Asus,16,intel core i5-11300h,8gb,integrated graphics,No Os/ Linux,512gb ssd,459

Asus,11.6,intel celeron n5100,4gb,integrated graphics,No Os/ Linux,128gb emmc,323.38

Apple,13.3,m1,16gb,gpu hepta core,MacOs,256gb ssd,1349

Dell,13.3,intel core i5-8365u,16gb,integrated graphics,No Os/ Linux,512gb ssd,389

Denver,15.6,intel celeron n4000,4gb,integrated graphics,No Os/ Linux,128gb ssd,198.99

Gigabyte,15.6,intel core i5-12500h,16gb,rtx 4060,No Os/ Linux,512gb ssd,873.05

Primux,15.6,intel core i5-1135g7,8gb,integrated graphics,No Os/ Linux,512gb ssd,411.65

Asus,15.6,amd ryzen 5 7520u,8gb,radeon 610m,No Os/ Linux,512gb ssd,499

Dell,15.6,intel core i5-7200u,8gb,integrated graphics,No Os/ Linux,256gb ssd,329.55

HP,13.3,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,378

Asus,11.6,intel celeron n4500,4gb,integrated graphics,No Os/ Linux,32gb emmc,358.09

HP,13.3,intel core i5-8350u,16gb,integrated graphics,No Os/ Linux,256gb ssd,380

Lenovo,14,intel core i5-8265u,8gb,integrated graphics,No Os/ Linux,256gb ssd,358

Microsoft,13.5,intel core i5-1035g7,8gb,integrated graphics,No Os/ Linux,256gb ssd,512.89

Asus,15.6,amd ryzen 7 7730u,16gb,integrated graphics,No Os/ Linux,512gb ssd,639

Acer,15.6,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,341.59

Apple,13,intel core i5,8gb,integrated graphics,MacOs,128gb ssd,378

HP,14,intel core i5-8365u,8gb,integrated graphics,No Os/ Linux,256gb ssd,389.99

Asus,15.6,intel celeron n4020,8gb,integrated graphics,No Os/ Linux,256gb ssd,357.83

HP,14,intel core i5-8350u,8gb,integrated graphics,No Os/ Linux,256gb ssd,327.17

HP,14,intel core i5-7300u,16gb,integrated graphics,No Os/ Linux,256gb ssd,304.39

HP,14,intel core i5-7200u,4gb,integrated graphics,No Os/ Linux,500gb,288.99

Asus,11.6,intel celeron n5100,4gb,integrated graphics,No Os/ Linux,32gb emmc,307.36

Asus,16,amd ryzen 5 5600h,8gb,integrated graphics,No Os/ Linux,512gb ssd,623.21

Dell,14,intel core i5-8250u,8gb,integrated graphics,No Os/ Linux,256gb ssd,319.99

HP,13.3,intel core i5-8350u,16gb,integrated graphics,No Os/ Linux,512gb ssd,387.99

HP,14,intel core i5-8250,4gb,integrated graphics,No Os/ Linux,500gb,274.99

HP,15.6,intel core i5-6300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,318.95

MSI,15.6,intel core i9-13900h,32gb,rtx 4060,No Os/ Linux,1tb ssd,1519

Primux,15.6,intel celeron n4000,8gb,integrated graphics,No Os/ Linux,256gb ssd,229

Denver,14,intel celeron n4020,4gb,integrated graphics,No Os/ Linux,64gb+256gb ssd,213.58

Alurin,15.6,amd ryzen 7 5700u,16gb,integrated graphics,No Os/ Linux,500gb ssd,599

Dell,14,intel core i5-5300u,8gb,integrated graphics,No Os/ Linux,256gb ssd,288.99

Asus,15.6,intel core i7-12700h,16gb,rtx 4060,No Os/ Linux,1tb ssd,1699

Razer,17.3,intel core i7-12800h,16gb,rtx 3060,No Os/ Linux,1tb ssd,1644.3

